Time (hours),control,Test Variable 1
0,892670.4,994871.2
0.316666667,928789,1021873
0.566666667,925736.1,1031470
0.816666667,939420.3,1034910
1.066666667,945954.7,1032228
1.316666667,962519.5,1040321
1.566666667,975617.8,1033772
1.816666667,985441.5,1039526
2.066666667,993197,1041702
2.316666667,1003673,1039363
2.566666667,1016048,1032583
2.816666667,1038374,1036800
3.066666667,1048978,1046555
3.316666667,1064583,1045657
3.566666667,1074049,1038499
3.816666667,1082132,1028895
4.066666667,1107915,1006660
4.316666667,1117138,1001186
4.566666667,1122306,976422.8
4.816666667,1138674,961625.8
5.066666667,1146511,942436.3
5.316666667,1163075,921700.8
5.566666667,1173534,904077.2
5.816666667,1189681,874844.9
6.066666667,1206157,848907
6.316666667,1208740,833499.3
6.566666667,1224677,808977
6.816666667,1233508,772533.3
7.066666667,1245316,754030.8
7.316666667,1258449,725111.3
7.566666667,1275090,706840.2
7.816666667,1287314,681707.3
8.066666667,1304512,656847.8
8.316666667,1319191,634625
8.566666667,1332656,613630.8
8.816666667,1337144,583384.3
9.066666667,1354861,570386.9
9.316666667,1376867,548974.3
9.566666667,1400166,528578.4
9.816666667,1405622,499762.3
10.06666667,1427741,481951.6
10.31666667,1449553,468385.5
10.56666667,1459692,452776
10.81666667,1469575,435539
11.06666667,1489055,429324.7
11.31666667,1492802,417794.8
11.56666667,1504474,402300.9
11.81666667,1516750,394067.8
12.06666667,1528775,381644.1
12.31666667,1538641,365453.5
12.56666667,1556784,350491.4
12.81666667,1572928,344459.4
13.06666667,1598602,331043.5
13.31666667,1602916,328071.8
13.56666667,1611777,318009.3
13.81666667,1630077,306277.5
14.06666667,1648476,304465.4
14.31666667,1653108,292553.9
14.56666667,1652056,283055.2
14.81666667,1670217,283212.7
15.06666667,1683364,272657.8
15.31666667,1687166,269501.4
15.56666667,1699894,266101.3
15.81666667,1715295,251159
16.06666667,1719153,255231.2
16.31666667,1740605,246717.4
16.56666667,1759248,245909.8
16.81666667,1765076,242219.1
17.06666667,1788756,235815.3
17.31666667,1798205,233156.3
17.56666667,1821474,227217.7
17.81666667,1811784,222099
18.06666667,1813175,217563.9
18.31666667,1840129,209123.9
18.56666667,1851334,211746
18.81666667,1867404,204246.5
19.06666667,1874872,204322.9
19.31666667,1890403,201535.8
19.56666667,1900229,198551.8
19.81666667,1922294,192315.3
20.06666667,1923473,193689.1
